weight;weight per sq;centerX;centerY;norm_centerX;norm_centerY;momentX;momentY;norm_momentX;norm_momentY
346.0;0.346;22.1878612716763;9.875722543352602;0.443757225433526;0.4937861271676301;64296.78901734104;15949.656069364144;22.171306557703808;5.499881403229015
355.0;0.355;24.91549295774648;7.594366197183098;0.4983098591549296;0.3797183098591549;70269.46478873237;11271.588732394375;24.23084992714909;3.886754735308405
276.0;0.276;25.358695652173914;7.413043478260869;0.5071739130434783;0.37065217391304345;73383.48913043483;10538.91304347825;25.304651424287872;3.6341079460269823
341.0;0.341;24.926686217008797;8.947214076246334;0.49853372434017595;0.44736070381231674;79803.16715542536;15513.049853372393;27.518333501870814;5.349327535645653
310.0;0.31;23.44516129032258;7.651612903225806;0.4689032258064516;0.3825806451612903;81500.5677419355;11084.374193548392;28.103644048943277;3.8221979977753078
243.0;0.243;18.707818930041153;6.325102880658436;0.37415637860082307;0.3162551440329218;43692.25514403295;7869.316872427975;15.06629487725274;2.713557542216543
300.0;0.3;26.01;7.766666666666667;0.5202;0.3883333333333333;74304.9700000001;11037.666666666668;25.622403448275897;3.806091954022989
333.0;0.333;23.78078078078078;9.384384384384385;0.4756156156156156;0.4692192192192192;56648.996996997;16998.79879879875;19.534136895516205;5.861654758206466
186.0;0.186;20.27956989247312;8.709677419354838;0.4055913978494624;0.4354838709677419;39349.46236559142;1334.3225806451628;13.568780126066006;0.4601112347052286
219.0;0.219;30.383561643835616;13.182648401826484;0.6076712328767123;0.6591324200913242;42639.78082191784;7498.694063926948;14.703372697213048;2.585756573767913
285.0;0.285;26.57894736842105;6.91578947368421;0.531578947368421;0.34578947368421054;43007.47368421049;9229.978947368412;14.830163339382928;3.1827513611615217
222.0;0.222;30.445945945945947;5.90990990990991;0.6089189189189189;0.2954954954954955;44164.8513513514;7814.198198198206;15.229259086672895;2.6945511028269675
395.0;0.395;21.22025316455696;9.179746835443037;0.42440506329113925;0.45898734177215184;72089.83797468353;15792.23797468354;24.85856481885639;5.4455993016150135
310.0;0.31;23.016129032258064;9.07741935483871;0.4603225806451613;0.4538709677419355;64306.91935483873;15656.141935483827;22.174799777530595;5.398669632925458
332.0;0.332;24.5;9.5;0.49;0.475;75683.0;15083.0;26.09758620689655;5.201034482758621
239.0;0.239;18.06694560669456;6.2761506276150625;0.3613389121338912;0.3138075313807531;45820.928870292875;8177.774058577414;15.800320300100992;2.8199220891646255
368.0;0.368;25.722826086956523;9.5;0.5144565217391305;0.475;80781.72826086961;15512.0;27.855768365817106;5.348965517241379
276.0;0.276;18.471014492753625;7.27536231884058;0.36942028985507247;0.363768115942029;44856.768115942046;10151.072463768125;15.467851074462775;3.500369815092457
313.0;0.313;24.48562300319489;10.1629392971246;0.4897124600638978;0.50814696485623;75294.18530351444;11882.690095846652;25.96351217362567;4.097479343395397
232.0;0.232;20.15948275862069;9.693965517241379;0.4031896551724138;0.48469827586206893;53201.09913793103;1791.2715517241272;18.345206599286563;0.6176798454221128
312.0;0.312;26.08653846153846;9.91025641025641;0.5217307692307692;0.49551282051282053;64824.663461538556;15635.487179487178;22.353332228116745;5.391547303271441
312.0;0.312;26.08974358974359;9.099358974358974;0.5217948717948718;0.4549679487179487;64849.48717948718;15679.91987179486;22.361892130857647;5.406868921308573
375.0;0.375;27.437333333333335;9.232;0.5487466666666667;0.46159999999999995;70684.27733333327;15748.816000000039;24.373888735632164;5.430626206896565
324.0;0.324;23.950617283950617;9.657407407407407;0.47901234567901235;0.48287037037037034;58453.20987654314;10292.97222222224;20.156279267773495;3.5493007662835314
337.0;0.337;26.326409495548962;10.222551928783382;0.5265281899109793;0.511127596439169;64786.094955489614;14924.308605341257;22.340032743272282;5.14631331218664
332.0;0.332;24.5;9.5;0.49;0.475;81167.0;8607.0;27.98862068965517;2.9679310344827585
